species	SRR31854928	SRR31854929	SRR31854935
Actinomyces oris	13.999999999999828	16.0	
Aggregatibacter actinomycetemcomitans		10.000000000000044	
Bifidobacterium dentium		11.999999999999956	10.000000000000002
Bifidobacterium longum	13.0	17.999999999501757	13.0
Capnocytophaga sputigena		13.0	38.0
Corynebacterium matruchotii		13.0	39763.02145939854
Enterococcus faecalis	12.000001721479244	20.0	
Erysipelatoclostridium ramosum	14.000000003528449	13.999999999999998	10.000000000000002
Filifactor alocis	13.042172903984309		
Fusobacterium periodonticum	11.0		
Klebsiella aerogenes		14.534425098003044	
Klebsiella variicola		11.46557490198938	
Laceyella sacchari	18.0	24.0	21.0
Lactobacillus brevis			16.0
Lactobacillus buchneri	14.01006457371528	104.61705712708168	
Lactobacillus coleohominis		13.000037696649873	
Lactobacillus crispatus	14.000000000000002		14.0
Lactobacillus fornicalis		169.63795646772996	
Lactobacillus gasseri	14.000273226622408		11.0
Lactobacillus jensenii	18.0	44115.81084930522	15.001382720692026
Lactobacillus reuteri	24.51044918597054	29.975611008116758	25.000000000000004
Lactobacillus rhamnosus	14.000000000000002	22.0	13.0
Limosilactobacillus fermentum	13.0		
Paraburkholderia fungorum			303.99567120208627
Phyllobacterium myrsinacearum		23.000853185969348	247.9948035583899
Prevotella denticola	11.999999999975705		11.999999999999998
Rothia mucilaginosa	13.000000018313743		
Scardovia wiggsiae			16.0
Schaalia odontolytica	12.0		
Staphylococcus epidermidis	16.0	11.0	12.000000000000156
Staphylococcus warneri			11.986683120290966
Streptococcus anginosus	24.81640495152481		
Streptococcus constellatus	51.034793835074304		
Streptococcus cristatus	26.002065883812705	17.000000000001226	23.98551639395379
Streptococcus gordonii	28.77249586019055	18.0	11.007586376544578
Streptococcus intermedius	53567.94357942018	13.999999999999998	15.0
Streptococcus milleri	10.80480075123541		
Streptococcus mutans	14.000020388652594	13.980573265575549	16.0
Streptococcus oralis	35.292381122288305	22.00071838555544	26.00000000000062
Streptococcus parasanguinis	13.238439516238952		
Streptococcus pneumoniae	12.705832899093704		
Streptococcus sanguinis	12.310564706105868		
Streptococcus suis	14.515659032207754	12.0	10.006897229501629
Veillonella dispar		12.976343558732635	11.999999999999998
	461.0	578.0	342.0
